fid,samp,mass,vv,tlh,tdh,trh,path,t2,tmax,gear,replicate,mod,hi,NJ,may,jun,july,aug,year,time
62,11,0.01,3,3,1,1,1,1,0,1,3,0,0,0,1,0,0,0,0,1
63,11,0.001,3,3,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1
64,11,0.0001,3,2,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1
65,11,0.00001,2,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1
66,11,0.000001,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1
67,12,0.1,3,3,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,1
68,12,0.01,3,3,1,0,1,1,0,1,4,0,0,0,1,0,0,0,0,1
69,12,0.001,3,3,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,1
70,12,0.0001,3,2,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,1
71,12,0.00001,3,0,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,1
72,12,0.000001,2,0,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,1
73,13,0.1,3,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
74,13,0.01,3,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
75,13,0.001,3,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
76,13,0.0001,3,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
77,13,0.00001,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
78,13,0.000001,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
79,14,0.1,3,3,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1
80,14,0.01,3,3,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1
81,14,0.001,3,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1
82,14,0.0001,3,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1
83,14,0.00001,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1
84,14,0.000001,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1
85,15,0.1,3,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1
86,15,0.01,3,3,1,0,1,1,0,0,3,0,0,0,1,0,0,0,0,1
87,15,0.001,3,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1
88,15,0.0001,3,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1
89,15,0.00001,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1
90,15,0.000001,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1
91,16,0.1,3,3,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1
92,16,0.01,3,3,2,0,2,1,0,0,4,0,0,0,1,0,0,0,0,1
93,16,0.001,3,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1
94,16,0.0001,2,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1
95,16,0.00001,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1
96,16,0.000001,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1
97,17,0.1,3,3,3,1,3,0,0,1,1,1,0,0,1,0,0,0,0,1
98,17,0.01,3,3,3,0,3,0,0,1,1,1,0,0,1,0,0,0,0,1
99,17,0.001,3,3,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1
100,17,0.0001,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
101,17,0.00001,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
102,17,0.000001,NA,NA,NA,NA,0,0,0,1,1,1,0,0,1,0,0,0,0,1
103,18,0.1,3,3,2,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1
104,18,0.01,3,3,3,2,3,0,0,1,2,1,0,0,1,0,0,0,0,1
105,18,0.001,3,3,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1
106,18,0.0001,3,3,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1
107,18,0.00001,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1
108,18,0.000001,NA,NA,NA,NA,0,0,0,1,2,1,0,0,1,0,0,0,0,1
109,19,0.1,3,3,3,0,3,0,0,1,3,1,0,0,1,0,0,0,0,1
110,19,0.01,3,3,2,1,2,0,0,1,3,1,0,0,1,0,0,0,0,1
111,19,0.001,3,3,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,1
112,19,0.0001,1,3,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,1
113,19,0.00001,NA,NA,NA,NA,0,0,0,1,3,1,0,0,1,0,0,0,0,1
114,19,0.000001,NA,NA,NA,NA,0,0,0,1,3,1,0,0,1,0,0,0,0,1
115,20,0.1,3,3,3,3,3,0,0,1,4,1,0,0,1,0,0,0,0,1
116,20,0.01,3,3,3,0,3,0,0,1,4,1,0,0,1,0,0,0,0,1
117,20,0.001,3,3,1,1,1,0,0,1,4,1,0,0,1,0,0,0,0,1
118,20,0.0001,3,3,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,1
119,20,0.00001,1,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,1
120,20,0.000001,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,1
121,21,0.1,3,3,2,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1
122,21,0.01,3,3,2,2,2,0,0,0,1,1,0,0,1,0,0,0,0,1
123,21,0.001,3,3,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
124,21,0.0001,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
125,21,0.00001,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
