fid,new.fid,month,year,site,water,new.water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,stan.temp,old.water.id,new.water.id,water.vvha,water.plif,log.vvha,log.pilf,stan.vvha,stan.pilf,,,,,,,
41,5,7,2012,2,11,2,1.0E-05,3,0,0,3,0,0,0,29,24,1.312974064,48,33,102.3356927,102.2862011,4.628258514,4.627774777,0.738474974,1.411118092,,,,,,,
41,5,7,2012,2,11,2,1.0E-06,0,0,0,0,0,0,0,29,24,1.312974064,49,34,127.9308862,67.35677139,4.851490167,4.210003438,0.810030683,1.242240268,,,,,,,
41,5,7,2012,2,11,2,1.0E-07,0,0,0,0,0,0,0,29,24,1.312974064,50,35,0.620800326,0.310286219,-0.476745786,-1.17026012,-0.897906757,-0.932650924,,,,,,,
42,6,7,2012,2,11,2,1.0E-01,3,3,3,3,0,1,1,29,24,1.312974064,51,36,191.4350177,58.41381337,5.254548418,4.067552392,0.939228842,1.18465656,,,,,,,
42,6,7,2012,2,11,2,1.0E-02,3,3,3,3,0,1,1,29,24,1.312974064,52,37,190.4259013,5.740644808,5.24926315,1.74757154,0.937534678,0.246838948,,,,,,,
42,6,7,2012,2,11,2,1.0E-03,3,3,2,3,0,0,0,29,24,1.312974064,53,38,0.533088568,0.305279085,-0.6290677,-1.186528889,-0.946732729,-0.939227331,,,,,,,
42,6,7,2012,2,11,2,1.0E-04,3,2,2,3,0,0,0,29,24,1.312974064,54,39,13237.976,1016.310683,9.490844948,6.923934372,2.29715096,2.339306317,,,,,,,
42,6,7,2012,2,11,2,1.0E-05,1,0,0,0,0,0,0,29,24,1.312974064,55,40,669.0212706,101.6063251,6.505815854,4.621105789,1.340315903,1.408422253,,,,,,,
42,6,7,2012,2,11,2,1.0E-06,0,0,0,0,0,0,0,29,24,1.312974064,56,41,1.762882928,0.531584173,0.566950496,-0.631893725,-0.563355515,-0.715024349,,,,,,,
42,6,7,2012,2,11,2,1.0E-07,0,0,0,0,0,0,0,29,24,1.312974064,57,42,6875.466944,1009.758042,8.835714839,6.917466019,2.087152519,2.336691582,,,,,,,
