fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,vvha.pre,water.plif,pilf.pre,water.tlh,tlh.pre,water.path,path.pre
5,4,2012,2,2,1.0E-06,0,0,NA,0,0,0,0,16,20,24.36670834,0.02108336,24.14106358,0.029210555,57.46047981,0.010582252,1.275633982,2.137409801
5,4,2012,2,2,1.0E-07,0,0,NA,0,0,0,0,16,20,0.529153846,10.61019215,0.532859095,540.8328826,1.913288246,1.218270154,0.619999764,7.035861788
6,4,2012,2,2,1.0E-01,3,0,NA,0,0,0,0,16,20,671.6453458,0.003647848,674.0502988,0.028893643,1.015625195,3.454899739,0.311581834,1736.111111
6,4,2012,2,2,1.0E-02,3,0,NA,0,0,0,0,16,20,57.71748485,0.011094342,57.97367477,0.045793985,191.4653532,0.004860259,2.519331591,0.832489744
6,4,2012,2,2,1.0E-03,0,0,NA,0,0,0,0,16,20,0.966589889,3.600632271,0.972837377,3.71248993,37.38248009,0.016415503,0.634268267,7.506098705
6,4,2012,2,2,1.0E-04,0,0,NA,0,0,0,0,16,20,369.3721787,0.004643482,372.1284491,0.019876508,13.01827561,0.048218528,0.304187504,493.8271605
6,4,2012,2,2,1.0E-05,0,0,NA,0,0,0,0,16,20,36.67809874,0.01584208,36.96688082,0.015774502,67.17872435,0.010186571,0.615757424,7.424511282
6,4,2012,2,2,1.0E-06,0,0,NA,0,0,0,0,16,20,0.314204729,355.998576,0.306364231,307.7870114,36.13599078,0.016888176,0.632612099,7.506098705
6,4,2012,2,2,1.0E-07,0,0,NA,0,0,0,0,16,20,187.0227495,0.004807829,186.34156,0.281733313,18.88652423,0.028756614,0.305023061,566.893424
7,4,2012,2,2,1.0E-01,3,0,NA,0,0,0,0,16,20,257.719121,0.003739885,258.950212,0.005429706,1413.577947,0.002360613,0.315809065,2770.083102
7,4,2012,2,2,1.0E-02,3,0,NA,0,0,0,0,16,20,0.625733926,7.111111111,0.626143235,307.7870114,129.210155,0.006726341,0.306281606,164.365549
7,4,2012,2,2,1.0E-03,2,0,NA,0,0,0,0,16,20,100.3746257,0.007146673,100.6924673,0.04794441,18.41878286,0.030649515,0.304115045,771.6049383
7,4,2012,2,2,1.0E-04,0,0,NA,0,0,0,0,16,20,18.94751755,0.028466243,18.95584262,2.000604182,6.665937195,0.127369,0.312310613,865.0519031
7,4,2012,2,2,1.0E-05,0,0,NA,0,0,0,0,16,20,1.385525034,2.359598019,1.383213405,566.893424,18.43227713,0.029210555,0.304195914,976.5625
7,4,2012,2,2,1.0E-06,0,0,NA,0,0,0,0,16,20,102.2635194,0.007344001,102.7652395,0.007022645,10.16853046,0.068242691,0.302863015,416.4931279
7,4,2012,2,2,1.0E-07,0,0,NA,0,0,0,0,16,20,130.7052367,0.006804243,129.9641244,0.010117017,102.1320384,0.006937505,0.980097612,3.814697266
8,4,2012,2,2,1.0E-01,3,0,NA,0,0,0,0,16,20,0.621487765,7.802503043,0.629932025,164.365549,13.04448209,0.047485814,0.309537789,236.6863905
