fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,water.plif,water.tlh,water.path
9,7,2012,3,3,1.00E-03,3,3,0,3,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-04,2,1,0,1,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-05,1,0,0,0,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-06,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
9,7,2012,3,3,1.00E-07,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-01,3,3,3,3,0,2,2,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-02,3,3,2,3,0,0,0,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-03,3,3,0,2,0,0,0,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-04,2,0,0,1,0,0,0,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-05,2,1,0,0,0,0,0,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-06,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
10,7,2012,3,3,1.00E-07,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-01,3,3,3,3,1,1,1,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-02,3,3,3,3,0,0,0,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-03,3,3,1,3,0,0,0,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-04,3,0,0,1,0,0,0,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-05,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-06,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
11,7,2012,3,3,1.00E-07,0,0,0,0,0,0,0,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-01,3,3,3,3,0,0,0,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-02,3,3,3,3,0,1,1,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-03,3,3,2,3,0,0,0,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-04,3,1,0,2,0,0,0,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-05,2,2,0,0,0,0,0,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-06,2,0,0,1,0,0,0,29,23,NA,NA,NA,NA
12,7,2012,3,3,1.00E-07,1,1,1,0,0,0,0,29,23,NA,NA,NA,NA
13,9,2012,1,4,1.00E-01,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
13,9,2012,1,4,1.00E-02,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
13,9,2012,1,4,1.00E-03,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
13,9,2012,1,4,1.00E-04,3,3,1,1,0,0,0,26,14,NA,NA,NA,NA
13,9,2012,1,4,1.00E-05,1,1,0,0,0,0,0,26,14,NA,NA,NA,NA
